2016.05.02_00:00:30	1462140030	19.87	5.64	21.08
2016.05.02_01:00:30	1462143631	19.21	5.65	20.64
2016.05.02_02:00:34	1462147234	19.75	5.63	21.24
2016.05.02_03:00:42	1462150843	20.53	5.65	20.7
2016.05.02_04:00:31	1462154431	20.39	5.65	20.81
2016.05.02_05:00:42	1462158042	19.88	5.64	21.22
2016.05.02_06:00:31	1462161631	19.53	5.65	18.95
2016.05.02_07:00:39	1462165240	20.12	5.64	20.93
2016.05.02_08:00:39	1462168839	20.06	5.64	20.8
2016.05.02_09:00:30	1462172431	19.7	5.6	21.62
2016.05.02_10:00:39	1462176040	20.2	5.58	21.46
2016.05.02_11:00:40	1462179640	19.9	5.64	21.34
2016.05.02_12:00:38	1462183238	20.37	3.51	20.24
2016.05.02_13:00:32	1462186832	20.2	3.06	20.35
2016.05.02_14:00:33	1462190434	20.51	5.64	18.79
2016.05.02_15:00:40	1462194041	20.21	4.15	20.73
2016.05.02_16:00:43	1462197644	20.24	5.63	21.2
2016.05.02_17:00:30	1462201231	19.57	5.63	20.68
2016.05.02_18:00:40	1462204840	20.3	5.6	19.52
2016.05.02_19:00:42	1462208442	20.23	2.86	20.6
2016.05.02_23:00:46	1462222846	17.99	3.04	20.44
2016.05.03_00:00:43	1462226444	20.34	5.6	21.36
2016.05.03_01:00:34	1462230034	20.12	5.63	20.77
2016.05.03_02:00:44	1462233645	20.48	5.65	20.9
2016.05.03_03:00:35	1462237235	19.78	5.64	20.42
2016.05.03_04:00:43	1462240843	18.12	1.79	20.44
2016.05.03_05:00:38	1462244438	19.53	5.64	21.06
2016.05.03_06:00:41	1462248042	20.61	0.0	20.33
2016.05.03_07:00:31	1462251631	18.73	4.85	21.13
2016.05.03_08:00:45	1462255245	19.86	5.64	18.71
2016.05.03_09:00:32	1462258833	19.85	5.63	21.39
2016.05.03_10:00:40	1462262441	19.93	3.43	21.09
2016.05.03_11:00:53	1462266053	20.3	2.55	20.65
2016.05.03_12:00:35	1462269636	19.73	5.6	18.98
2016.05.03_13:01:28	1462273288	20.19	5.64	20.91
2016.05.03_14:00:34	1462276834	20.02	5.63	20.72
2016.05.03_15:00:40	1462280441	20.2	5.64	21.04
2016.05.03_16:00:46	1462284046	20.06	5.55	20.34
2016.05.03_17:00:40	1462287640	20.29	5.59	20.96
2016.05.03_18:00:33	1462291234	20.41	5.6	20.46
2016.05.03_19:00:43	1462294844	20.64	5.64	20.55
2016.05.03_20:00:38	1462298438	20.06	5.64	21.29
2016.05.03_21:00:34	1462302035	20.07	5.65	19.18
2016.05.03_22:00:44	1462305644	20.15	5.59	20.62
2016.05.03_23:00:36	1462309237	20.02	5.58	21.04
2016.05.04_00:00:31	1462312832	19.58	5.6	19.39
2016.05.04_01:00:46	1462316447	20.12	5.62	20.39
2016.05.04_02:00:36	1462320037	19.02	5.62	19.25
2016.05.04_03:00:39	1462323639	20.15	5.64	18.18
2016.05.04_04:00:50	1462327251	19.45	5.63	18.99
2016.05.04_05:00:50	1462330851	19.99	5.61	18.44
2016.05.04_06:01:10	1462334470	19.77	5.64	21.95
2016.05.04_07:00:50	1462338050	20.72	5.64	18.39
2016.05.04_08:01:23	1462341684	19.97	5.62	20.96
2016.05.04_09:00:38	1462345238	19.54	5.6	21.18
2016.05.04_10:00:47	1462348847	20.23	5.64	21.81
2016.05.04_11:00:43	1462352443	19.82	5.59	20.81
2016.05.04_12:00:52	1462356052	20.19	5.61	21.75
2016.05.04_13:00:45	1462359646	20.24	5.64	18.89
2016.05.04_14:00:50	1462363251	20.41	5.64	20.57
2016.05.04_15:00:43	1462366843	20.65	5.63	20.81
2016.05.04_16:00:49	1462370450	20.06	5.62	20.7
2016.05.04_17:00:49	1462374050	20.32	5.57	20.36
2016.05.04_18:00:34	1462377634	20.01	5.64	20.92
2016.05.04_19:00:50	1462381250	20.26	5.65	22.15
2016.05.04_20:00:46	1462384846	20.27	5.61	20.37
2016.05.04_21:00:45	1462388445	20.42	5.6	20.29
2016.05.04_22:00:48	1462392049	20.32	5.64	21.23
2016.05.04_23:00:39	1462395639	19.57	5.63	21.5
2016.05.05_00:00:42	1462399242	20.04	5.64	20.67
2016.05.05_01:00:54	1462402854	20.05	5.61	21.03
2016.05.05_02:00:53	1462406454	19.95	5.65	20.88
2016.05.05_03:00:48	1462410049	20.26	5.6	21.1
2016.05.05_04:00:44	1462413645	20.32	5.64	18.84
2016.05.05_05:00:40	1462417240	20.11	5.64	19.19
2016.05.05_06:01:00	1462420861	20.03	5.59	21.23
2016.05.05_07:00:40	1462424440	20.11	5.65	18.11
